taxa,PC1,PC2,PC3
IITA-TMS-IBA30572,-46.901397027102,66.0691826315697,3.61127625054174
IITA-TMS-IBA8700018-42(4X),-28.0221376876532,21.5150567691862,-1.31733439339619
IITA-TMS-IBA30001,-28.2143995985074,-15.0877024775079,22.8706505502168
IITA-TMS-IBA30040,48.4970131789128,-20.7558064539873,5.86122894999422
IITA-TMS-IBA30555,48.5529917049761,-30.8814976395009,27.4527844471059
IITA-TMS-IBA30555P3-2,-46.7760055794245,66.1697895119184,3.91806530536124
IITA-TMS-IBA4(2)1425,-35.4401795425164,13.8993810421624,21.6310319374108
IITA-TMS-IBA40764,-35.5471056308225,16.5861100269337,7.29963974468736
IITA-TMS-IBA42025,-35.358299450261,10.0941544932859,18.6519094241507
IITA-TMS-IBA71673,36.7149161862796,33.4798745865913,17.4796155395981
IITA-TMS-IBA8101635,22.9216104517701,45.7338053466688,-6.84474410507492
IITA-TMS-IBA8200058,-35.3218995606563,38.6016075737554,6.48702317447287
IITA-TMS-IBA8400353,-46.2133167647821,66.0231413225231,3.84144765917975
IITA-TMS-IBA8500680,-16.3661669542368,-5.61191041895331,5.13129702130287
IITA-TMS-IBA8700052,37.0427042739148,32.1541281072945,19.782603017532
IITA-TMS-IBA8802343,-25.4216952064494,-22.4937778976841,37.7205689716118
IITA-TMS-IBA8900250,23.5688391820037,37.5740971400811,-28.3407117060809
IITA-TMS-IBA8900963,0.871007277795744,17.4455465589062,-4.81272186603726
IITA-TMS-IBA8902195,-14.4633626244313,10.6269759914897,29.6091586370216
IITA-TMS-IBA9000099,0.255119374617732,22.6843217307881,6.02441596788943
IITA-TMS-IBA9100153(3X),-42.8544581617174,30.6344583147875,2.34739168174999
IITA-TMS-IBA9100255(3X),-22.6414056947636,33.4737563883124,1.18873208445911
IITA-TMS-IBA9100416,-34.9888979684213,25.7336774320968,10.4055543731099
IITA-TMS-IBA9100420,38.1143050650831,1.60256636949315,2.60852921092922
IITA-TMS-BAD9100455,-37.8698538107687,27.050540742364,-18.0172902215446
IITA-TMS-IBA9100459,12.5443430385807,35.2924945104919,-4.99561189852435
IITA-TMS-IBA9101730,-25.6759044637843,40.5533677308033,11.175124480284
IITA-TMS-IBA9102312,37.7694296164709,1.73681272059517,2.20151339408661
IITA-TMS-IBA9102322,37.8935259991865,-0.584107765896307,-12.6537432202812
IITA-TMS-IBA9102324,-28.7998391655723,11.2718640593087,3.89425427712071
IITA-TMS-IBA9102325,36.7702385408539,3.57904403062459,6.72910676921578
IITA-TMS-IBA91934,24.3527947754907,42.950368505066,-31.5985346085222
B9100462,37.8555036338422,1.74843037875976,2.3429787936356
IITA-TMS-IBA920057,-26.7880368344797,-8.81227846653114,16.9610614693997
IITA-TMS-IBA920067,39.0790004546801,-10.0512301388899,-17.3021002162014
IITA-TMS-BAD9200061,35.7437102185432,-2.98683211756737,-29.3031061681657
IITA-TMS-BAD9200068,35.7827449522465,-13.4131969583249,-15.513622110857
IITA-TMS-IBA000338,-29.6496133872151,8.92305387301121,-2.55073090560487
IITA-TMS-IBA000342,10.2787161659176,0.516371427964047,3.29772808348719
IITA-TMS-IBA000345,-29.0630269110333,11.9077350929008,-0.216149330632938
IITA-TMS-IBA000346,-28.2068594758977,-3.64655425506786,9.51871265485725
IITA-TMS-IBA000350,34.4892260759236,2.21497365100916,3.34537924020743
IITA-TMS-IBA000351,-29.7985919704235,5.02021349149231,-7.24532031535637
IITA-TMS-IBA000354,30.3525796323346,3.08514839531544,-4.18606725806357
IITA-TMS-IBA000355,21.5710778211361,4.73080745525868,0.931817685934795
IITA-TMS-IBA000364,-33.4658706477614,21.5579622109344,-5.75194929315369
IITA-TMS-IBA000378,39.759172836503,-12.9996472474462,3.6379845345556
IITA-TMS-IBA000388,-31.1707161711958,8.1916908519919,-2.92162432198813
IITA-TMS-IBA011115,34.8671626494289,6.69037355172465,8.08720907418375
IITA-TMS-IBA011224,-14.4284828314736,3.15184625311204,35.0632743443481
IITA-TMS-IBA011235,31.0765286302848,-12.4115497309352,-19.1162473980147
IITA-TMS-IBA011273,41.2424350864147,8.84936009927659,23.777026551595
IITA-TMS-IBA011331,41.0224518274547,18.6305587103861,29.2353830017199
IITA-TMS-IBA011335,37.9554032870206,32.3173852698587,19.3759365024624
IITA-TMS-IBA011368,-2.17014845457415,38.1708298288755,51.9351152383885
IITA-TMS-IBA011371,-9.40306883926703,59.024014797012,35.0366769306041
IITA-TMS-IBA011412,-23.0741297799138,14.4139579192342,18.1005167195943
IITA-TMS-IBA011413,15.620804547591,19.6514915975513,36.5874010753217
IITA-TMS-IBA011442,-3.23348574097752,25.3012468012504,23.9429003219421
IITA-TMS-IBA011646,36.0456065182938,26.0940409891548,19.4099770938281
IITA-TMS-IBA011663,40.3513870687215,2.43066147700183,14.8755823307432
IITA-TMS-IBA30211,-35.5998096071197,16.3746777431311,7.27369965507699
50395,34.3124550865123,27.1931930050543,-12.7771795048365
IITA-TMS-IBA60142,-31.2844064429153,-10.6884345330297,18.2914269834117
IITA-TMS-IBA60506,35.7600583476067,18.0758993691878,-3.12096969671515
IITA-TMS-IBA8400316(4X),-39.5919157629092,44.1743511866275,-1.26207534040712
IITA-TMS-IBA9001554,-32.1762452563063,39.2485598861507,27.059363569344
IITA-TMS-IBA920110,-29.8211815770902,3.57083844241525,1.10134959683233
IITA-TMS-IBA4(2)1443,32.4849043959151,11.5756973233133,11.1856688789052
IITA-TMS-IBA000017,-32.2035197812067,21.501776569394,-11.8286350537526
IITA-TMS-IBA000028,32.0785074738359,38.8497632977234,-1.74680368360301
IITA-TMS-IBA000049,-30.7732721770695,14.0543112147526,2.82018227629687
IITA-TMS-IBA000061,-0.749285462008437,-11.5172243693079,9.26621350346181
IITA-TMS-IBA000070,37.0343406566886,-14.4685649876276,-22.4578274206271
IITA-TMS-IBA000093,35.8247305134339,8.64956583653714,-1.74756343513824
IITA-TMS-IBA000101,24.322630637503,37.8513212221562,-12.981398917456
IITA-TMS-IBA000107,9.94487441107369,10.8027277613183,-24.4233414324792
IITA-TMS-IBA011206,19.1368369465552,-13.3564815195953,29.756981216558
IITA-TMS-IBA011231,34.4390161437988,21.7209677940185,10.3593892888936
IITA-TMS-IBA011296,27.2984173116584,3.91668054648951,-12.1993904149665
IITA-TMS-IBA011404,33.0472965975005,26.6148664364355,20.8337424952239
IITA-TMS-IBA011417,-5.43759571670285,34.4255679152112,39.8314906070323
IITA-TMS-IBA011423,33.6714936939161,-21.7405908711602,-0.771059623807035
IITA-TMS-IBA011551,-29.948947550161,-1.92042022286088,16.6564875757346
IITA-TMS-IBA011560,38.0487874887767,7.94342938636623,14.6960434467242
IITA-TMS-IBA011635,37.5370510173581,15.8800255111736,20.317075583377
IITA-TMS-IBA011659,-13.9178740709125,1.34052857821594,35.0223714659596
IITA-TMS-IBA90853,32.1852385851856,2.31437179227554,-1.7917986080911
IITA-TMS-IBA920053,21.5334473439936,31.5484480188761,3.36379722547888
IITA-TMS-IBA920211,38.1340109057316,-11.9507360762497,-27.6779338254721
IITA-TMS-IBA920258,-36.1646853737246,37.2289493493646,5.32507330816468
IITA-TMS-IBA920269,34.5531542815961,9.28936463972052,-22.6914132008003
IITA-TMS-IBA010034,-27.9059489445683,-7.92909249498875,11.5744268567737
IITA-TMS-IBA010040,34.6610305747637,-0.241587731499975,-4.07894633248281
IITA-TMS-IBA010045,38.319950722344,-7.41716053806434,3.8704799119903
IITA-TMS-IBA010046,-15.5763749781293,-17.991485570417,17.3595011205643
IITA-TMS-IBA010085,-23.556386184059,-34.7655190353904,-1.30865688400075
IITA-TMS-IBA010090,0.176279219277674,-4.00916591849798,26.8048613216607
IITA-TMS-IBA010098,41.8390447342822,-10.7791169615665,1.53702982444956
IITA-TMS-IBA010103,-24.5887078094039,-21.4985315182007,9.06633568340018
IITA-TMS-IBA010131,33.7939762057251,17.8567954784807,4.57769286809889
IITA-TMS-IBA010134,33.5405127503484,-4.772846669596,-0.971293758873451
IITA-TMS-IBA010169,-16.064086409911,-17.7933383380182,17.3165125305906
IITA-TMS-IBA010171,28.3278063701312,26.9853089513513,-12.2422483038065
IITA-TMS-IBA010265,33.6788769011162,-21.8500752104471,-0.861569497156748
IITA-TMS-IBA010732,-31.3057871134155,0.821460862977681,19.944599540332
IITA-TMS-IBA010760,39.8274655178906,-3.63112920269423,7.61737295841144
IITA-TMS-IBA010819,37.2015546870309,23.1181974386602,20.3318132947723
IITA-TMS-IBA010903,21.1675574244216,35.5156888183514,-9.40100558289027
IITA-TMS-IBA011086,-20.082827502703,10.9935291347478,30.3909658110634
IITA-TMS-IBA011097,-27.6129496366726,5.27015146927086,4.67758197352215
IITA-TMS-IBA011731,-11.8096347742852,-51.9933839967123,18.3051248501437
IITA-TMS-IBA011732,-11.4562808305059,-52.0118665536007,18.6734853976317
IITA-TMS-IBA011735,-15.7770796227228,-55.632917753831,19.730793826856
IITA-TMS-IBA011760,20.8254834418256,4.58399507008042,19.2964214223007
IITA-TMS-IBA011797,51.4533017645434,-36.3026819722453,25.0417365744569
IITA-TMS-IBA011807,25.9487658014253,10.4708051884838,-35.4300460586099
IITA-TMS-IBA011813,31.1427886549966,-13.2144274011756,-18.9190031502465
IITA-TMS-IBA010536,39.8255658447372,4.94596945699778,23.4859744442126
IITA-TMS-IBA010615,-8.09354519473357,-2.57001259776533,-2.97027953292655
IITA-TMS-IBA010622,14.0292003629288,7.59937095139564,7.12032629694113
IITA-TMS-IBA000203,-28.5053281675671,-31.7965679411739,-2.90220930016832
IITA-TMS-IBA000210,26.1844642835213,-12.4910073270094,-3.33718333012538
IITA-TMS-IBA000211,-38.3908785257077,16.2324156007637,-9.61648944850141
IITA-TMS-IBA000214,-2.51617681861522,-28.1209614916511,-5.6294078005868
IITA-TMS-IBA000222,32.2746030524619,8.24175321041703,-4.60236841690434
IITA-TMS-IBA011802,-28.1034502568489,5.50992551128893,-5.92701248774393
IITA-TMS-IBA020091,-37.5463840756931,12.4919018535826,-18.878522544441
IITA-TMS-IBA020103,-30.4362516882913,1.74475034983915,-2.40975336982784
IITA-TMS-IBA020105,33.7194658214484,8.67319608693818,-29.7270719050397
IITA-TMS-IBA020129,31.4772126472625,15.5703929515289,-23.3536077264268
IITA-TMS-IBA020131,-26.6473841466827,0.234797509294223,7.31496627498473
IITA-TMS-IBA020133,-1.21607669932698,1.29854735710707,22.0529869700402
IITA-TMS-IBA020134,27.3620206032286,3.82802288239003,-12.3078202674087
IITA-TMS-IBA020233,-26.1443858596147,-8.0561206580037,14.1316227406332
IITA-TMS-IBA020285,-19.8971834479211,-44.3955314672123,17.8324554582595
IITA-TMS-IBA020388,34.0920927767149,-21.6768370859489,-34.3027112257699
IITA-TMS-IBA020409,27.1413565435944,12.0957335046816,-30.764017694171
IITA-TMS-IBA020431,38.899922201004,-19.1096294313491,-10.3687150084419
IITA-TMS-IBA020432,-31.7211437697272,-7.12794079187513,-6.05282290607406
IITA-TMS-IBA020444,27.4057710670011,3.82971073331643,-12.2262035821229
IITA-TMS-IBA020452,32.5652873780429,13.7681781391756,-2.09768431698693
IITA-TMS-IBA030061,29.0810424251741,-13.1337943061095,2.46651332156479
IITA-TMS-IBA030075,30.2953241658668,3.04443970793241,-8.638822429862
IITA-TMS-IBA030141,40.7147959154802,-9.08907277665893,2.27839864435025
IITA-TMS-IBA030177,-2.39693903732613,-0.931905921594619,27.6506004219573
IITA-TMS-IBA030213,-25.8693184203802,-8.12158935093766,20.1604252090749
IITA-TMS-IBA9101730(4X),-25.5404565838534,40.662772218715,11.3627734088353
IITA-TMS-IBA9102316(4X),36.7791246887608,3.574233359719,6.93413025384273
IITA-TMS-IBA9102325(4X),36.3895613684177,3.84677923772123,6.96535183718223
IITA-TMS-IBA91934(4X),24.2269905879169,42.5561346545049,-31.6487873692356
IITA-TMS-IBA920057(4X),-26.6557509477605,-8.61175572528371,16.7136551574023
IITA-TMS-IBA920067(4X),38.9518670970726,-9.94569332934241,-17.0786644115137
IITA-TMS-IBA010606,-16.1830761290903,-17.8526194762567,16.9784744303032
IITA-TMS-IBA011752,54.3212801135635,-53.2109156669096,26.8661855811355
IITA-TMS-IBA83672,-31.6064319361094,15.9888391389568,18.9179302268902
IITA-TMS-IBA8801504,-37.7415006296227,32.0738468684747,10.453294931635
IITA-TMS-IBA020527,-35.8714865511064,36.505450927655,4.98613315171693
IITA-TMS-IBA020588,-30.9886505028272,20.2693872341993,21.1286347218907
IITA-TMS-IBA020570,-31.2162041506121,20.0061419659707,21.2002676117728
IITA-TMS-IBA020516,-40.1883655575852,2.33878180591741,7.93125809502166
IITA-TMS-IBA020510,-33.1841976542978,24.7888076486774,11.4627885156236
IITA-TMS-IBA020514,26.5215425862022,40.7507819707461,-10.3774724943758
IITA-TMS-IBA020540,-14.52078352221,1.72348164790781,-12.7058076433425
IITA-TMS-IBA030242,-13.7607053491886,17.2810999831263,5.04701046935919
IITA-TMS-IBA030275,-12.2466344543443,30.2261361523174,-9.44584853082199
IITA-TMS-IBA030264,-28.1960722649618,5.86349842326586,15.0253124222564
IITA-TMS-IBA030292,-10.3563105373976,7.56838710764004,12.4961160622715
IITA-TMS-IBA030265,10.6080009768764,26.305648330348,-6.99816314650848
IITA-TMS-IBA030279,11.8341448269028,35.6488188595341,-1.46793515752202
IITA-TMS-IBA030256,31.4864618766827,36.4701450068925,-62.0314927530227
IITA-TMS-IBA030284,28.5302302838265,-1.99966502561736,-5.3939902869276
IITA-TMS-IBA030224,-1.9827395383116,26.5539831744644,-14.8228522193957
IITA-TMS-IBA030276,-27.4186153150824,21.1928651769448,23.7481055959709
IITA-TMS-IBA030273,-31.6885255974789,21.0890701366368,15.7906523271583
IITA-TMS-IBA030305,26.108614777388,30.2840210931083,-10.4012778852112
IITA-TMS-IBA030254,30.3255437630307,29.4730243754071,7.19972909135952
I974045,34.4856524992594,29.6633664117947,17.478875033151
IITA-TMS-IBA051646,-3.18438294983654,34.0442568651391,40.488928155542
IITA-TMS-IBA051600,39.2553594163567,30.3600924625949,36.9845793645019
IITA-TMS-IBA051626,39.7436682449585,31.3416890262587,37.2857287623925
IITA-TMS-IBA051662,39.2863066881512,31.4171018814824,37.0993562123735
IITA-TMS-IBA051658,35.4208955354733,24.0229319029601,24.5908989349187
IITA-TMS-IBA051652,37.3735514270795,34.3967645433476,35.6294201019335
IITA-TMS-IBA050127,-18.3698756707803,3.45521964197227,15.7276263251156
IITA-TMS-IBA051636,42.8754306448801,18.601172293023,40.6974946166413
IITA-TMS-IBA050100,42.0448019507541,-6.92869380371127,19.8162954462738
IITA-TMS-IBA051632,-4.89426998505413,13.8592808567457,33.2987655380766
IITA-TMS-IBA051599,43.4116740422253,12.4754023157194,32.4042668568885
IITA-TMS-IBA051601,19.5645124709605,14.8682545325894,4.6592042619941
IITA-TMS-IBA050303,12.4588382623052,10.8464428776398,14.2093409944482
IITA-TMS-IBA051631,-23.060413229696,18.3772834958245,30.4683286787755
IITA-TMS-IBA051625,39.7265596358309,30.9818215771161,36.7323060245686
IITA-TMS-IBA051654,38.623442222435,18.9022021649669,25.5932339800709
IITA-TMS-IBA051653,25.2100962393067,-11.8696066762155,-31.2820944800974
IITA-TMS-IBA050473,26.3365491975709,-0.190272087681044,30.0493128334033
IITA-TMS-IBA050186,20.3262412527699,60.8791001250737,19.075571343906
IITA-TMS-IBA050327,21.073053537117,-4.50230627458292,18.5450506323719
IITA-TMS-IBA051740,38.4746380145676,2.3544737098812,-6.53113314023869
IITA-TMS-IBA050741,21.3118923143636,-5.86824016082788,17.6330610064665
IITA-TMS-IBA050286,-0.98466314619899,45.6698606593177,1.37770213222456
IITA-TMS-IBA050099,37.9782044977623,-0.810535005963977,13.6404241763104
IITA-TMS-IBA051814,38.0214654588755,4.59555403054093,1.80053407698319
