"","Distance","Rsquare","Number"
"1",100,0.584716318444291,4110
"2",200,0.503822849375363,758
"3",300,0.521414770628777,423
"4",400,0.522532466587536,231
"5",500,0.469349498724937,139
"6",600,0.480650545823569,131
"7",700,0.51623495132949,107
"8",800,0.399453061789044,102
"9",900,0.484639534692427,81
"10",1000,0.448352620902603,86
"11",1100,0.378018685104798,71
"12",1200,0.436580155281482,87
"13",1300,0.542976741557004,51
"14",1400,0.508183443674857,78
"15",1500,0.463632551474383,65
"16",1600,0.490390481036853,56
"17",1700,0.41697741149018,51
"18",1800,0.400339151449843,60
"19",1900,0.381995901793181,51
"20",2000,0.521560359339285,53
"21",2100,0.390910414590923,50
"22",2200,0.403385408958774,45
"23",2300,0.489639164702942,35
"24",2400,0.474864638880712,55
"25",2500,0.477932563252161,38
"26",2600,0.449672602603638,44
"27",2700,0.365854908511957,44
"28",2800,0.241988743726751,28
"29",2900,0.420963514776981,50
"30",3000,0.455542351247973,49
"31",3100,0.408650936295081,41
"32",3200,0.390641629728575,31
"33",3300,0.471180423311751,37
"34",3400,0.44530442965386,33
"35",3500,0.370766493858159,26
"36",3600,0.369930880070143,25
"37",3700,0.439246585813624,43
"38",3800,0.302189434999019,36
"39",3900,0.36894047784334,24
"40",4000,0.535679095473114,31
"41",4100,0.429006907046622,28
"42",4200,0.496579117998608,23
"43",4300,0.447360050134576,28
"44",4400,0.496485804786049,30
"45",4500,0.366964922679729,29
"46",4600,0.391017447563084,26
"47",4700,0.384840075001111,26
"48",4800,0.501431378783242,39
"49",4900,0.407719138493175,23
"50",5000,0.3822113111205,18
"51",5100,0.429249313667303,22
"52",5200,0.483090482270194,22
"53",5300,0.641454752101388,23
"54",5400,0.380508262172343,19
"55",5500,0.381859207288912,25
"56",5600,0.316689387967533,18
"57",5700,0.38202637366022,20
"58",5800,0.410867653503178,24
"59",5900,0.421823145091623,21
"60",6000,0.290806931746414,22
"61",6100,0.518047696769499,21
"62",6200,0.239412630826821,21
"63",6300,0.382392714789844,11
"64",6400,0.405210759529082,15
"65",6500,0.406298849127364,17
"66",6600,0.440339526051712,16
"67",6700,0.493799724072088,14
"68",6800,0.310393919870629,16
"69",6900,0.377038996768847,18
"70",7000,0.349771170603517,17
"71",7100,0.408122263128234,14
"72",7200,0.446987804108038,20
"73",7300,0.437727697567736,21
"74",7400,0.396044762240731,17
"75",7500,0.395874913507174,15
"76",7600,0.249177003168976,13
"77",7700,0.54759831974454,18
"78",7800,0.462582736386316,18
"79",7900,0.662243144787778,16
"80",8000,0.408362333323747,12
"81",8100,0.482688896783643,14
"82",8200,0.669688293444284,16
"83",8300,0.336682224465652,12
"84",8400,0.457859187991671,11
"85",8500,0.60022577554803,16
"86",8600,0.271952746886345,15
"87",8700,0.407600180144996,10
"88",8800,0.428123871507309,13
"89",8900,0.493594059125904,13
"90",9000,0.505846989812217,11
"91",9100,0.41301348554669,12
"92",9200,0.388316962025134,14
"93",9300,0.137207923491053,7
"94",9400,0.410565834446661,9
"95",9500,0.258214352210967,13
"96",9600,0.269844988233383,9
"97",9700,0.363432494502132,6
"98",9800,0.371500057987067,12
"99",9900,0.209852680141007,9
