Individual ID,Cylindrical_type,Umbrella_type,Open_type,Compact_type,Erectibility
TMS14F1247P0006,0,1,0,0,0
TMS14F1272P0016,0,1,0,0,0
TMS14F1309P0015,0,1,0,0,0
TMS14F1286P0014,1,0,0,0,0
TMS14F1096P0009,0,1,0,0,0
TMS14F1152P0006,0,1,0,0,0
TMS14F1094P0002,0,1,0,0,0
TMS14F1278P0002,0,1,0,0,0
TMS14F1235P0006,0,1,0,0,0
TMS14F1285P0005,1,0,0,0,0
TMS14F1036P0011,1,0,0,0,0
TMS14F1042P0005,0,1,0,0,0
TMS14F1137P0001,0,1,0,0,0
TMS14F1057P0005,0,0,0,0,0
TMS14F1285P0016,0,1,0,0,0
TMS14F1140P0006,0,1,0,0,0
TMS14F1162P0003,0,1,0,0,0
TMS14F1221P0001,0,1,0,0,0
TMS14F1019P0007,0,1,0,0,0
TMS14F1079P0003,0,0,0,0,0
TMS14F1272P0007,0,1,0,0,0
TMS14F1045P0006,0,1,0,0,0
TMS14F1268P0006,0,1,0,0,0
TMS14F1216P0003,0,1,0,0,0
TMS14F1173P0003,0,0,0,0,0
TMS14F1159P0001,0,0,0,0,0
TMS14F1108P0002,1,0,0,0,0
TMS14F1294P0007,0,1,0,0,0
TMS14F1291P0011,0,1,0,0,0
TMS14F1077P0010,0,1,0,0,0
TMS14F1169P0003,0,1,0,0,0
TMS14F1288P0004,0,1,0,0,0
TMS14F1191P0007,0,1,0,0,0
TMS14F1098P0004,0,1,0,0,0
TMS14F1309P0011,0,1,0,0,0
TMS14F1020P0005,0,1,0,0,0
TMS14F1287P0013,1,0,0,0,0
TMS14F1027P0008,0,1,0,0,0
TMS14F1036P0001,0,1,0,0,0
TMS14F1003P0001,0,1,0,0,0
TMS14F1280P0015,0,1,0,0,0
TMS14F1124P0003,0,1,0,0,0
TMS14F1244P0009,1,0,0,0,0
TMS14F1226P0003,0,1,0,0,0
TMS14F1074P0017,0,1,0,0,0
TMS14F1166P0001,1,0,0,0,0
TMS14F1019P0001,0,1,0,0,0
TMS14F1154P0007,0,1,0,0,0
TMS14F1176P0009,0,0,0,0,0
TMS14F1302P0007,1,0,0,0,0
TMS14F1292P0007,0,1,0,0,0
TMS14F1177P0001,0,1,0,0,0
TMS14F1178P0001,0,1,0,0,0
TMS14F1300P0004,1,0,0,0,0
TMS14F1290P0017,1,0,0,0,0
TMS14F1141P0005,0,0,0,0,0
TMS14F1196P0006,0,0,0,0,0
TMS14F1306P0005,1,0,0,0,0
TMS14F1311P0002,0,1,0,0,0
TMS14F1082P0002,0,1,0,0,0
TMS14F1142P0008,0,0,0,0,0
TMS14F1166P0005,0,0,0,0,0
TMS14F1081P0001,0,0,0,0,0
TMS14F1303P0014,0,1,0,0,0
TMS14F1128P0011,0,0,0,0,0
TMS14F1312P0013,1,0,0,0,0
TMS14F1295P0018,0,1,0,0,0
TMS14F1303P0002,1,0,0,0,0
TMS14F1181P0007,0,1,0,0,0
TMS14F1243P0017,0,1,0,0,0
TMS14F1163P0002,0,1,0,0,0
TMS14F1171P0002,0,1,0,0,0
TMS14F1145P0010,0,1,0,0,0
TMS14F1181P0001,0,0,0,0,0
TMS14F1255P0007,0,0,0,0,0
TMS14F1289P0015,0,1,0,0,0
TMS14F1248P0009,0,1,0,0,0
TMS14F1069P0001,0,0,0,0,0
TMS14F1278P0013,0,1,0,0,0
TMS14F1312P0020,1,0,0,0,0
TMS14F1309P0019,0,1,0,0,0
TMS14F1228P0009,0,1,0,0,0
TMS14F1099P0005,0,1,0,0,0
TMS14F1030P0001,0,1,0,0,0
TMS14F1303P0011,0,1,0,0,0
TMS14F1018P0004,0,0,0,0,0
TMS14F1280P0002,0,0,0,0,0
TMS14F1256P0003,0,0,0,0,0
TMS14F1097P0005,0,0,0,0,0
TMS14F1279P0003,0,1,0,0,0
TMS14F1270P0001,0,0,0,0,0
TMS14F1195P0005,0,1,0,0,0
TMS14F1296P0011,0,1,0,0,0
TMS14F1088P0002,0,1,0,0,0
TMS14F1273P0006,0,0,0,0,0
TMS14F1257P0002,0,0,0,0,0
TMS14F1214P0002,0,1,0,0,0
TMS14F1026P0009,1,0,0,0,0
TMS14F1282P0012,0,1,0,0,0
TMS14F1053P0002,0,0,0,0,0
TMS14F1273P0001,0,1,0,0,0
TMS14F1125P0008,0,1,0,0,0
TMS14F1116P0004,0,0,0,0,0
TMS14F1297P0013,0,1,0,0,0
TMS14F1059P0004,0,0,0,0,0
TMS14F1001P0004,0,1,0,0,0
TMS14F1284P0012,1,0,0,0,0
TMS14F1264P0003,0,0,0,0,0
TMS14F1210P0003,0,0,0,0,0
TMS14F1292P0001,1,0,0,0,0
TMS14F1265P0006,0,1,0,0,0
TMS14F1298P0018,0,1,0,0,0
TMS14F1073P0004,0,0,0,0,0
TMS14F1208P0007,0,1,0,0,0
TMS14F1291P0014,1,0,0,0,0
TMS14F1280P0019,1,0,0,0,0
TMS14F1084P0006,0,0,0,0,0
TMS14F1032P0004,0,1,0,0,0
TMS14F1017P0013,0,0,0,0,0
TMS14F1257P0005,0,1,0,0,0
TMS14F1226P0009,0,1,0,0,0
TMS14F1142P0016,0,1,0,0,0
TMS14F1065P0008,0,0,0,0,0
TMS14F1310P0011,0,1,0,0,0
TMS14F1098P0014,0,0,0,0,0
TMS14F1285P0019,0,1,0,0,0
TMS14F1057P0001,0,1,0,0,0
TMS14F1170P0018,0,1,0,0,0
TMS14F1032P0009,0,1,0,0,0
TMS14F1301P0011,0,1,0,0,0
TMS14F1291P0003,1,0,0,0,0
TMS14F1298P0002,0,0,0,0,0
TMS14F1285P0012,1,0,0,0,0
TMS14F1289P0011,0,1,0,0,0
TMS14F1223P0012,0,1,0,0,0
TMS14F1252P0001,0,0,0,0,0
TMS14F1008P0012,0,0,0,0,0
TMS14F1019P0017,0,1,0,0,0
TMS14F1210P0006,0,1,0,0,0
TMS14F1063P0009,0,1,0,0,0
TMS14F1014P0009,0,0,0,0,0
TMS14F1300P0019,0,1,0,0,0
TMS14F1284P0005,1,0,0,0,0
TMS14F1117P0006,0,0,0,0,0
TMS14F1298P0006,0,1,0,0,0
TMS14F1310P0014,0,1,0,0,0
TMS14F1129P0001,0,1,0,0,0
TMS14F1235P0002,0,1,0,0,0
TMS14F1142P0009,0,0,0,0,0
TMS14F1151P0005,0,1,0,0,0
TMS14F1189P0002,0,1,0,0,0
TMS14F1189P0005,0,1,0,0,0
TMS14F1191P0005,0,1,0,0,0
TMS14F1195P0002,0,1,0,0,0
TMS14F1196P0004,0,1,0,0,0
TMS14F1199P0003,0,1,0,0,0
TMS14F1247P0004,0,0,0,0,0
TMS14F1301P0004,1,0,0,0,0
TMS14F1286P0015,1,0,0,0,0
TMS14F1287P0011,0,1,0,0,0
TMS14F1289P0018,0,1,0,0,0
TMS14F1291P0004,1,0,0,0,0
TMS14F1309P0007,1,0,0,0,0
TMS14F1008P0006,0,1,0,0,0
TMS14F1289P0013,0,0,0,0,0
TMS14F1224P0003,0,1,0,0,0
TMS14F1287P0010,1,0,0,0,0
TMS14F1276P0009,1,0,0,0,0
TMS14F1283P0016,0,1,0,0,0
TMS14F1310P0007,1,0,0,0,0
TMS14F1022P0004,0,1,0,0,0
TMS14F1174P0006,0,0,0,0,0
TMS14F1287P0019,1,0,0,0,0
TMS14F1072P0005,0,1,0,0,0
TMS14F1100P0011,0,1,0,0,0
TMS14F1107P0003,0,0,0,0,0
TMS14F1068P0009,0,0,0,0,0
TMS14F1077P0004,0,1,0,0,0
TMS14F1189P0004,0,1,0,0,0
TMS14F1304P0014,0,1,0,0,0
TMS14F1084P0001,0,1,0,0,0
TMS14F1307P0015,0,1,0,0,0
TMS14F1297P0009,0,0,0,0,0
TMS14F1069P0007,0,0,0,0,0
