"Trait","Trial","VarG","VarE","Mean","H2","CV","PEV","Ac"
"Cylindrical_type","20Pyt27YellowFlesh-NM",1.9630688029486e-13,0.174024978924123,3.93182557852414,0,0.254334781650045,1.96306880294859e-13,0
"Cylindrical_type","21.Intro.Lat.Ame.UYT.30.IB",7.99729200772247,0.388294502329577,1.58247202828133,0.98,0.631922702030989,3.24426840374269,0.77
"Cylindrical_type","21.GS.C1.C2.C3.C4.40.UYT.IB",422.330412634473,0.00340243005672985,26.0263755890375,1,0.0384225608586548,401.933145922751,0.22
"Cylindrical_type","21.GS.C1.C2.C3.C4.40.UYT.MK",106.238839088745,0.0787975261477775,14.340255719968,1,0.0697337634368373,96.0252615656749,0.31
"Cylindrical_type","20Pyt62WhiteFlesh_Namulonge",0,0.0854088906563572,4.79579054127879,0,0.208516195899863,0,NA
"Cylindrical_type","20CET179SR",537.708607222346,0.000701447624432557,30.3482391083995,1,0.0329508409508751,534.798406766373,0.07
"Cylindrical_type","14.GS.C2.CE.447.IK",3.22288566205099,0.426239132491612,2.41362778487463,0.89,0.414314090294557,2.51395159225819,0.47
"Cylindrical_type","14localgermUB",442.972904776818,0.00161697647637882,27.3562969802399,1,0.0365546550661563,437.820210916436,0.11
"Cylindrical_type","14geneticgainUB",226.140552109695,0.0385110325066399,19.4327447530085,1,0.051459534549034,214.163659173381,0.23
"Umbrella_type","21Uyt5.exp_Namulonge",3.22308686056863e-11,1.67725293737448,0.405465108086391,0,2.46630346250887,3.2230868605437e-11,0
"Umbrella_type","21TzAyt9_Namulonge",2.2283461969736e-09,1.54417749920432,0.223143583301051,0,4.48141947532886,2.22834619574754e-09,0
"Umbrella_type","20Tz7Pyt_Namulonge",15.4756348273672,0.155323709311318,-2.26416481871703,1,-0.441663960032133,6.20608126077714,0.77
"Umbrella_type","20Ayt11_Namulonge",10.2791637553463,0.332847434679785,-2.63402561954217,0.98,-0.379647028708026,4.88621349345739,0.72
"Umbrella_type","20Ayt9-Serere",2.6622784485327,0.626989477305108,-1.84120405536861,0.93,-0.543122853267776,1.40475764550376,0.69
"Umbrella_type","21WhiteFleshAyt29_Namulonge",0.476682750752549,1.21517783631949,0.0133108821636908,0.29,75.1265008361192,0.425098846242008,0.33
"Umbrella_type","21_YellowFreshAyt31_Namulonge",0,1.33516095629741,-0.597837000470673,0,-1.67269673709173,0,NA
"Umbrella_type","20Pyt24YellowFlesh-SR",4.7608967561321,0.586757928291421,0.741338185190537,0.94,1.34891203498843,2.01334138756971,0.76
"Umbrella_type","20Pyt27YellowFlesh-NM",5.79971448355766,0.407235461717011,-2.40392544936752,0.96,-0.415986277886906,3.18908502963275,0.67
"Umbrella_type","21.Intro.Lat.Ame.UYT.30.IB",86.7837687640529,0.106660486515627,-12.9019841461902,1,-0.077507458439661,75.7012596866799,0.36
"Umbrella_type","20Pyt36WhiteFlesh-Serere",3.03109147791035,0.742607222742251,0.114084653987829,0.89,8.76542080853999,1.43135191003335,0.73
"Umbrella_type","21Pyt78_Namulonge",4.28946881393254e-08,1.39765487796796,-0.154150702104503,0,-6.48715825713251,4.28946876820587e-08,0
"Umbrella_type","21.GS.C1.C2.C3.C4.40.UYT.IB",15.3944512866754,0.142454274940438,2.38797824846302,1,0.418764283403181,6.35066216230577,0.77
"Umbrella_type","21.GS.C1.C2.C3.C4.40.UYT.MK",5.61338460549591,0.545921075310619,-0.392943790135998,0.95,-2.54489325217202,2.15070404096547,0.79
"Umbrella_type","20Pyt62WhiteFlesh_Namulonge",2.44033351938469,0.695641607762745,-1.28276788267636,0.88,-0.779564263733827,1.39351297241997,0.65
"Umbrella_type","20CET179SR",303.317441578207,0.0063579060808154,-22.301527202218,1,-0.0448399784881344,291.956113909599,0.19
"Umbrella_type","14.GS.C2.CE.447.IK",0.370564916758295,1.17942600536805,0.458118359505961,0.25,2.18284200851153,0.339476049892984,0.29
"Umbrella_type","14localgermUB",0.119091606286386,1.23075427318882,-0.653358496646173,0.09,-1.53055329521727,0.115896159662383,0.16
"Umbrella_type","14geneticgainUB",0.161208672729807,1.26160233847411,-0.467813507179228,0.12,-2.13760394826924,0.155019015283029,0.2
"Open_type","21Uyt5.exp_Namulonge",3.13865887458144e-11,1.67725293737499,-0.405465108086391,0,-2.46630346250887,3.1386588745578e-11,0
"Open_type","20Ayt3-special-NM",15.4756998418178,0.170855493654107,2.26417941449059,0.99,0.441661112895944,6.20611574939667,0.77
"Open_type","21TzAyt9_Namulonge",7.40025382780046e-09,1.16084110018613,-1.25276296096107,0,-0.79823560494863,7.40025381833512e-09,0
