germplasmName,Dim.1,Dim.2
IITA-TMS-IBA30572,0.022409664457494347,0.10344770249340315
IITA-TMS-IBA8700018-42(4X),0.007999564070920699,0.010970034019253401
IITA-TMS-IBA30001,0.008109711818776184,0.005394723675400777
IITA-TMS-IBA30040,0.023960384346455102,0.010209446701962277
IITA-TMS-IBA30555,0.024015729655458222,0.022600585454080353
IITA-TMS-IBA30555P3-2,0.02228999962070121,0.1037629924444411
IITA-TMS-IBA4(2)1425,0.012795451724032274,0.004578401799990549
IITA-TMS-IBA40764,0.012872778168688124,0.006519466615235335
IITA-TMS-IBA42025,0.012736395449502952,0.002414698300977001
IITA-TMS-IBA71673,0.01373247692946582,0.02656382598942237
IITA-TMS-IBA8101635,0.005352467646523185,0.04956757354559466
IITA-TMS-IBA8200058,0.012710185775091122,0.03531293088327291
IITA-TMS-IBA8400353,0.02175695304128993,0.10330357453804284
IITA-TMS-IBA8500680,0.002728712310411355,7.463532727223473e-4
IITA-TMS-IBA8700052,0.013978776616273458,0.02450171349009163
IITA-TMS-IBA8802343,0.006583742106995674,0.011990789720799689
IITA-TMS-IBA8900250,0.005659006359403132,0.033458008666552685
IITA-TMS-IBA8900963,7.728716257850171e-6,0.007212604891595023
IITA-TMS-IBA8902195,0.0021310927210446565,0.0026763467511520525
IITA-TMS-IBA9000099,6.630567171914943e-7,0.012194797081835664
IITA-TMS-IBA9100153(3X),0.018709225633077583,0.02224044090123072
IITA-TMS-IBA9100255(3X),0.0052224052460358985,0.026554118192928203
IITA-TMS-IBA9100416,0.012471661749683718,0.0156937484573399
IITA-TMS-IBA9100420,0.014799253428189009,6.086323482642899e-5
IITA-TMS-BAD9100455,0.014610028161423398,0.017341029774044715
IITA-TMS-IBA9100459,0.0016030964018159905,0.029518051991833286
IITA-TMS-IBA9101730,0.006716071297909947,0.03897416623869602
IITA-TMS-IBA9102312,0.014532644449541913,7.148731147461855e-5
IITA-TMS-IBA9102322,0.014628299128922807,8.085538370076723e-6
IITA-TMS-IBA9102324,0.00844975118412923,0.0030110257295089165
IITA-TMS-IBA9102325,0.013773892539680636,3.0356875130640185e-4
IITA-TMS-IBA91934,0.006041731398854711,0.04371764612849118
B9100462,0.014598957785125207,7.244687703287797e-5
IITA-TMS-IBA920057,0.007310474569495878,0.0018403456812092532
IITA-TMS-IBA920067,0.015557889759236599,0.002394205453049384
IITA-TMS-BAD9200061,0.013015565944398778,2.1141928854678384e-4
IITA-TMS-BAD9200068,0.013044009358153029,0.004263709284789449
IITA-TMS-IBA000338,0.008955748014144628,0.0018869048978887395
IITA-TMS-IBA000342,0.0010763203294276331,6.318985941620116e-6
IITA-TMS-IBA000345,0.008604893189572062,0.003360325214005003
IITA-TMS-IBA000346,0.008105377857991569,3.151289778884192e-4
IITA-TMS-IBA000350,0.01211799290823836,1.1626797545377737e-4
IITA-TMS-IBA000351,0.009045972908902715,5.972653975415265e-4
IITA-TMS-IBA000354,0.009385448051251119,2.2556675844611571e-4
IITA-TMS-IBA000355,0.004740318110786817,5.303878011238847e-4
IITA-TMS-IBA000364,0.011409537812665928,0.011013830646992077
IITA-TMS-IBA000378,0.016104174843041823,0.004004848732785802
IITA-TMS-IBA000388,0.009898225807345255,0.0015902671567554958
IITA-TMS-IBA011115,0.012385028524062678,0.0010607760739488068
IITA-TMS-IBA011224,0.002120826444061571,2.3542524477581633e-4
IITA-TMS-IBA011235,0.00983849788781117,0.0036506904119988377
IITA-TMS-IBA011273,0.017328157825049068,0.0018558664354772862
IITA-TMS-IBA011331,0.01714379730160903,0.00822573548748332
IITA-TMS-IBA011335,0.014676111966637323,0.02475115176285816
IITA-TMS-IBA011368,4.797806004290633e-5,0.03452917363714346
IITA-TMS-IBA011371,9.007474202061646e-4,0.08256205139524157
IITA-TMS-IBA011412,0.005423934768293363,0.004923676166318915
IITA-TMS-IBA011413,0.0024858252359015133,0.009151958069552192
IITA-TMS-IBA011442,1.065137551649181e-4,0.015170742175423114
IITA-TMS-IBA011646,0.0132363569643776,0.016136363263186862
IITA-TMS-IBA011663,0.016587492212576178,1.4001415305771954e-4
IITA-TMS-IBA30211,0.012910978159006702,0.006354311562321686
50395,0.011994092185740464,0.01752440945884901
IITA-TMS-IBA60142,0.009970561919923498,0.0027073922707549947
IITA-TMS-IBA60506,0.01302747454651663,0.00774324162504964
IITA-TMS-IBA8400316(4X),0.01596896721971612,0.04624484633533945
IITA-TMS-IBA9001554,0.010547135439713144,0.03650651986830471
IITA-TMS-IBA920110,0.009059693182979752,3.021783774170683e-4
IITA-TMS-IBA4(2)1443,0.010750458369486163,0.003175537945979377
IITA-TMS-IBA000017,0.01056502379357855,0.010956495660218253
IITA-TMS-IBA000028,0.010483157310935232,0.035768418304394034
IITA-TMS-IBA000049,0.009647419243023835,0.004681037433206416
IITA-TMS-IBA000061,5.719504531440918e-6,0.003143537436029085
IITA-TMS-IBA000070,0.013972464985376343,0.004961053384013217
IITA-TMS-IBA000093,0.013074637603766067,0.0017730116899822644
IITA-TMS-IBA000101,0.006026773710840761,0.03395354061908694
IITA-TMS-IBA000107,0.0010075402433680175,0.0027656030462858065
IITA-TMS-IBA011206,0.003730818390425016,0.004227728765028916
IITA-TMS-IBA011231,0.012082735479763762,0.01118101744354298
IITA-TMS-IBA011296,0.007591694670510435,3.6354592715003134e-4
IITA-TMS-IBA011404,0.011125913324584987,0.016786940990825366
IITA-TMS-IBA011417,3.0121571455454907e-4,0.0280856971618504
IITA-TMS-IBA011423,0.01155017490289109,0.01120122879668061
