Trials,VarG,VarE,Mean,H2,CV,PEV,Ac
15.GS.C1.CE.293.IB,0.638638628281841,0.119537531800441,3.12650052549632,0.853056167505926,0.110584341492542,0.100314572625662,0.918109120895302
20C2a_bPYTGSUmudike,0,1.2907628875448,1.422375,0,0.798746787617007,0,NA
14.GS.C1.EC.331.IK,0.465994967774401,0.338073602477456,2.85379118969155,0.596381153651853,0.203743347747209,0.193786483673557,0.764293586222851
19.Hawaii.PYT.54.IK,0,0.921711840379733,2.04547535211268,0,0.469357035976529,0,NA
20.GS.C4B.AYT.42.IK,0,1.16484639476435,2.09923943661972,0,0.514129298364862,0,NA
20.GS.C4B.AYT.60.IB,0.00407056680420408,0.164900333165558,0.489313227628329,0.106871372092267,0.829896265579728,0.00363741126024634,0.326207915720015
20C2aAYTGSUmudike,0,1.09273435774752,1.64111888111888,0,0.636967475389862,0,NA
20CET276Chitala,0.0213996210240484,0.0600233016758213,1.25843960756692,0.273963218430829,0.194682790127252,0.0156973252802792,0.516204549419511
20.GS.C4B.AYT.40.MK,0,1.3292994731441,1.95941095890411,0,0.588417910655261,0,NA
10uytCIATsetAUM,0,1.13966641030436,1.86713310580205,0,0.571759770510182,0,NA
16C1aCETnonGSOtobi,0.434145330554396,0.285095415591955,3.16743188663491,0.625621766540313,0.168572928834172,0.169549783257062,0.780681159642558
20C2aAYTGSonne,0,1.2517273085835,2.15485034013605,0,0.519203666777526,0,NA
18.GS.C1.C2.UYT.26.MK,0,1.26941047471369,1.98485810810811,0,0.567638146245958,0,NA
17C1bCETnonGSumu,0.0732194883925485,1.06789568851624,2.01746615416813,0.203442343670048,0.512221919166516,0.058436014230758,0.449339821339697
18.GS.C3.AYT.30.UB,0,1.43196627325986,1.74160535117057,0,0.687094772209723,0,NA
19crossingblockCETubiaja,0,1.91039818363732,1.85173178807947,0,0.746421028835333,0,NA
18.GS.C1.UYT.34.MK,0.0473332724387646,0.593827817777591,1.22621895424837,0.417717259181683,0.628437719779812,0.0275613476075439,0.64631049750231
19.Hawaii.PYT.60.IB,0,1.29376172866873,2.03493506493507,0,0.558954677211007,0,NA
18CET310Chitala,0.0021446032880825,0.0134530501852147,0.59740299175728,0.149152369890449,0.194152500380042,0.00184106625155765,0.37621175487086
17.GS.C2.AYT.34.MK,0.073434707663895,0.678505363437514,1.17903644299867,0.491040814657319,0.698633511243718,0.0373845838903912,0.700652530586232
15.GS.C1.CE.329.MK,1.00408601455237,0.0957132097497495,2.50762543306903,0.920858940889274,0.123373894552546,0.0861047912123618,0.956161912284597
18.GS.C3.AYT.30.MK,0,1.4359098447884,2.04643125,0,0.585553292724386,0,NA
18.GS.C3B.AYT.40.UB,0,1.08351386060299,1.40668501529052,0,0.739980668949348,0,NA
18.GS.C3.AYT.30.IK,0,1.06063168713344,1.77185588235294,0,0.581237872140963,0,NA
18C1bAYTGSOtobi,0,1.03321882947149,2.89571220930232,0,0.351027191064177,0,NA
17C1aAYTnonGSkano,0,0.834331495810497,2.11933717579251,0,0.43099205359951,0,NA
20CET321Kabangwe,0.0162479701864429,0.0556353108661539,0.97505795047317,0.822888408108837,0.241904992586962,0.00478046696138755,0.840107532612353
19.Hawaii.PYT.60.IK,0,1.11086885682951,1.97537784090909,0,0.533557486574222,0,NA
11EarlyBulkingDrtKA,0,1.30258985320628,1.64189801699717,0,0.695116611361869,0,NA
17.CASS.PYT.46.setC.IB,0,0.877384373457531,1.48983050847458,0,0.628721170304818,0,NA
18.CMSSurveyVarieties.AYT33.IB,0,0.905145048370188,2.18155865921788,0,0.436106133648284,0,NA
18introLatAmeumu,0.742314015663638,0.384112413517056,2.46573260407257,0.672945098176356,0.251352490938742,0.250261994662316,0.814163595947706
18.GS.C2.UYT.36.setA.AG,0,1.2615032389126,1.85274175824176,0,0.606218652584074,0,NA
