"Trait","Trial","VarG","VarE","Mean","H2","CV","PEV","Ac"
"DMC","18PYT28HYLD2KYK",4.68835116617371,31.7129861658937,38.8740300098667,0.3,0.144863509877868,3.29433477019361,0.55
"DMC","20AYT27Kabangwe",5.43892581969843,13.9002664442488,33.4810798388902,0.72,0.111355611204523,1.83084400579587,0.81
"DMC","19Ayt17BestPerforming_Ilonga",2.25913921062667,6.28233382059493,31.1206571978268,0.48,0.0805400222091516,1.19562015839075,0.69
"DMC","20C1bUYTGSUmudike",13.0623218544672,21.4692046507951,35.9825462093709,0.61,0.128770412269233,5.2591315105716,0.77
"DMC","20UYT14EVTMVZ",4.16819473132968,2.44653855189396,35.3614285714285,0.84,0.0442329831563892,0.68206577360937,0.91
"DMC","20C1bUYTGSonne",0.963144203994296,11.39003076208,33.4348913316667,0.19,0.100939821521357,0.782866740882721,0.43
"DMC","19AYT30CBSDMLG",7.50964765217035,6.36302707611675,38.5900000000001,0.77,0.0653667822769456,1.77166047109919,0.87
"DMC","18PYT28HYLDKYK",4.72488686480845,31.9300372205667,35.3582324475091,0.33,0.159811918757279,3.1843401705617,0.57
"DMC","18C1aUYTnonGSset1umu",9.39130967471387,17.7197369048521,36.6699638400981,0.51,0.114793726117111,4.64666027937637,0.71
"DMC","18pyt28USavannahKYK",4.58632761649818,31.669080638731,35.4201799308216,0.32,0.158879170931977,3.14652180264314,0.56
"DMC","19C1bAYTGSkano",0,39.0422390457112,29.6521052631579,0,0.210722943884414,0,NA
"DMC","18ayt28highTCMK",9.0680807554412,5.55080355205119,17.2196560788486,0.75,0.13682121903841,2.35762781109198,0.86
"DMC","14uyt16pdIB",9.49089551578405,7.5583678360189,39.2682424658542,0.79,0.0700120102699345,2.30780974065407,0.87
"DMC","19C1aUYTnonGSkano",0,29.717593015873,34.226,0,0.159276120624592,0,NA
"DMC","20AYT15Chitala",0,32.347452040404,23.1066666666667,0,0.24614030788285,0,NA
"DMC","20AYT15RefColMLG",3.96624893140688,2.41053649802731,42.5086666666668,0.83,0.0365240873482307,0.668152807806779,0.91
