repeats,id,predOf,Trait,Accuracy,Model
3,Fold3,GEBV,BranchlevelNum,0.4141183378691769,Additive
3,Fold3,GEBV,FirstBranchHeight,0.21653442199689993,Additive
3,Fold3,GEBV,PlantHeight,0.29899750491202426,Additive
3,Fold3,GEBV,Cylindrical_type,0.27558831399242645,Additive
3,Fold3,GEBV,Umbrella_type,-0.035326074234198354,Additive
3,Fold3,GEBV,Open_type,0.3017590039844738,Additive
3,Fold3,GEBV,Compact_type,0.02913198048726855,Additive
3,Fold4,GEBV,BranchlevelNum,0.45936420896889485,Additive
3,Fold4,GEBV,FirstBranchHeight,0.29204133421079215,Additive
3,Fold4,GEBV,PlantHeight,0.24016102655230728,Additive
3,Fold4,GEBV,Cylindrical_type,0.1785224363050385,Additive
3,Fold4,GEBV,Umbrella_type,0.028693999748702088,Additive
3,Fold4,GEBV,Open_type,0.22689119575087388,Additive
3,Fold4,GEBV,Compact_type,0.024939603195356503,Additive
3,Fold5,GEBV,BranchlevelNum,0.4328031924169283,Additive
3,Fold5,GEBV,FirstBranchHeight,0.264952423586079,Additive
3,Fold5,GEBV,PlantHeight,0.2571591220692556,Additive
3,Fold5,GEBV,Cylindrical_type,0.14635215776673963,Additive
3,Fold5,GEBV,Umbrella_type,0.0358089801383369,Additive
3,Fold5,GEBV,Open_type,0.33353605726146546,Additive
3,Fold5,GEBV,Compact_type,0.036237812204351225,Additive
1,Fold1,GEBV,BranchlevelNum,0.43306552975709056,Additive_Dom
1,Fold1,GETGV,BranchlevelNum,0.4328946203685692,Additive_Dom
1,Fold1,GEBV,FirstBranchHeight,0.28225079374471584,Additive_Dom
1,Fold1,GETGV,FirstBranchHeight,0.28225079374471584,Additive_Dom
1,Fold1,GEBV,PlantHeight,0.26300588478755604,Additive_Dom
1,Fold1,GETGV,PlantHeight,0.2660670865938604,Additive_Dom
1,Fold1,GEBV,Cylindrical_type,0.16275148576164888,Additive_Dom
1,Fold1,GETGV,Cylindrical_type,0.16720308342343018,Additive_Dom
1,Fold1,GEBV,Umbrella_type,0.0017607987449179874,Additive_Dom
1,Fold1,GETGV,Umbrella_type,-0.008906844701655203,Additive_Dom
1,Fold1,GEBV,Open_type,0.22582067863938557,Additive_Dom
1,Fold1,GETGV,Open_type,0.24999437338764938,Additive_Dom
1,Fold1,GEBV,Compact_type,0.040912703501318995,Additive_Dom
1,Fold1,GETGV,Compact_type,0.12052679378697054,Additive_Dom
1,Fold2,GEBV,BranchlevelNum,0.4489402086636436,Additive_Dom
1,Fold2,GETGV,BranchlevelNum,0.4454390202091769,Additive_Dom
1,Fold2,GEBV,FirstBranchHeight,0.2788675577853482,Additive_Dom
1,Fold2,GETGV,FirstBranchHeight,0.27886107374973107,Additive_Dom
1,Fold2,GEBV,PlantHeight,0.2652175042273404,Additive_Dom
1,Fold2,GETGV,PlantHeight,0.2673140989461912,Additive_Dom
1,Fold2,GEBV,Cylindrical_type,0.2139466367745198,Additive_Dom
1,Fold2,GETGV,Cylindrical_type,0.20468437046162347,Additive_Dom
1,Fold2,GEBV,Umbrella_type,0.010051261084001471,Additive_Dom
1,Fold2,GETGV,Umbrella_type,0.053026225239898334,Additive_Dom
1,Fold2,GEBV,Open_type,0.30127958787902437,Additive_Dom
1,Fold2,GETGV,Open_type,0.31942602189635744,Additive_Dom
1,Fold2,GEBV,Compact_type,-0.0066765476544095774,Additive_Dom
1,Fold2,GETGV,Compact_type,0.082575264055669,Additive_Dom
1,Fold3,GEBV,BranchlevelNum,0.443500752841064,Additive_Dom
1,Fold3,GETGV,BranchlevelNum,0.4425073585067979,Additive_Dom
1,Fold3,GEBV,FirstBranchHeight,0.24819233579070668,Additive_Dom
1,Fold3,GETGV,FirstBranchHeight,0.24819233579070668,Additive_Dom
1,Fold3,GEBV,PlantHeight,0.2162948017447152,Additive_Dom
1,Fold3,GETGV,PlantHeight,0.21317804911462118,Additive_Dom
1,Fold3,GEBV,Cylindrical_type,0.1474549431938876,Additive_Dom
1,Fold3,GETGV,Cylindrical_type,0.10652629664303848,Additive_Dom
1,Fold3,GEBV,Umbrella_type,-0.0020428045667040206,Additive_Dom
1,Fold3,GETGV,Umbrella_type,0.0317110514124537,Additive_Dom
1,Fold3,GEBV,Open_type,0.16186260601175814,Additive_Dom
1,Fold3,GETGV,Open_type,0.16682049767231788,Additive_Dom
1,Fold3,GEBV,Compact_type,0.02709432547775194,Additive_Dom
1,Fold3,GETGV,Compact_type,0.07494879681656734,Additive_Dom
1,Fold4,GEBV,BranchlevelNum,0.4380496608439255,Additive_Dom
1,Fold4,GETGV,BranchlevelNum,0.42859271197087967,Additive_Dom
1,Fold4,GEBV,FirstBranchHeight,0.2788549475710266,Additive_Dom
1,Fold4,GETGV,FirstBranchHeight,0.2788549475710266,Additive_Dom
1,Fold4,GEBV,PlantHeight,0.25015159856230007,Additive_Dom
1,Fold4,GETGV,PlantHeight,0.2563268235843991,Additive_Dom
1,Fold4,GEBV,Cylindrical_type,0.12116739617134405,Additive_Dom
1,Fold4,GETGV,Cylindrical_type,0.11743312406485303,Additive_Dom
1,Fold4,GEBV,Umbrella_type,0.05383923135759963,Additive_Dom
1,Fold4,GETGV,Umbrella_type,-0.026722643266333324,Additive_Dom
1,Fold4,GEBV,Open_type,0.33948859557331207,Additive_Dom
1,Fold4,GETGV,Open_type,0.3190148076672467,Additive_Dom
1,Fold4,GEBV,Compact_type,-0.10556152945469498,Additive_Dom
1,Fold4,GETGV,Compact_type,0.12118632497774592,Additive_Dom
1,Fold5,GEBV,BranchlevelNum,0.43856966918553697,Additive_Dom
1,Fold5,GETGV,BranchlevelNum,0.4410591236192637,Additive_Dom
1,Fold5,GEBV,FirstBranchHeight,0.20504115142753482,Additive_Dom
1,Fold5,GETGV,FirstBranchHeight,0.20504115142753482,Additive_Dom
