taxa,PC1,PC2,PC3
IITA-TMS-IBA30572,-46.9014562530906,66.0689099814669,3.61126931767842
IITA-TMS-IBA8700018-42(4X),-28.0222218985807,21.5150658743176,-1.31755239266894
IITA-TMS-IBA30001,-28.2144647026412,-15.0875845028217,22.870698170586
IITA-TMS-IBA30040,48.4968972139235,-20.7557154304947,5.86073884743953
IITA-TMS-IBA30555,48.552897188938,-30.8813586121298,27.4526666966099
IITA-TMS-IBA30555P3-2,-46.7760652542917,66.1695169908369,3.91805023382245
IITA-TMS-IBA4(2)1425,-35.4402408623032,13.8994571978471,21.631063283739
IITA-TMS-IBA40764,-35.5471578169757,16.5860119216506,7.2996023944221
IITA-TMS-IBA42025,-35.3583261406645,10.0941088014318,18.6518945562458
IITA-TMS-IBA71673,36.7160198639677,33.481877554199,17.4829435478287
IITA-TMS-IBA8101635,22.921505159409,45.733649677517,-6.8450441964966
IITA-TMS-IBA8200058,-35.3219670644051,38.6014459319589,6.48682527292165
IITA-TMS-IBA8400353,-46.2133762273585,66.0228680397336,3.84143471185552
IITA-TMS-IBA8500680,-16.3662472376526,-5.61191260752594,5.13112927927095
IITA-TMS-IBA8700052,37.0426466486621,32.1543352033682,19.7828325007893
IITA-TMS-IBA8802343,-25.42174580748,-22.4936487507548,37.7206512980366
IITA-TMS-IBA8900250,23.5687035987232,37.5741045166014,-28.3410399520552
IITA-TMS-IBA8900963,0.872031761981893,17.4443806388135,-4.81150769615248
IITA-TMS-IBA8902195,-14.4632980372533,10.6278379231814,29.6099999799429
IITA-TMS-IBA9000099,0.255023123582761,22.6843579492689,6.02414414473974
IITA-TMS-IBA9100153(3X),-42.8545098497889,30.6343508703864,2.34732981150985
IITA-TMS-IBA9100255(3X),-22.6407225685859,33.4726784064096,1.18976672767871
IITA-TMS-IBA9100416,-34.9889630153793,25.7336104415256,10.4054149734287
IITA-TMS-IBA9100420,38.1142021908213,1.60263387275503,2.60831882368807
