diff,lwr,upr,p.adj,
NRCRI:AYT-IITA:AYT,-0.137211255,-0.183778357,-0.090644153,0
IITA:CET-IITA:AYT,0.130776493,0.088096135,0.173456852,0
NRCRI:CET-IITA:AYT,-0.168273163,-0.206820946,-0.129725379,0
IITA:PYT-IITA:AYT,-0.041325072,-0.075987387,-0.006662757,0.007312518
NRCRI:PYT-IITA:AYT,-0.002258242,-0.072334854,0.067818371,0.999999996
IITA:UYT-IITA:AYT,-0.204512383,-0.244473128,-0.164551638,0
NRCRI:UYT-IITA:AYT,0.039742129,-0.011674703,0.091158961,0.270262964
IITA:CET-NRCRI:AYT,0.267987749,0.220377938,0.315597559,0
NRCRI:CET-NRCRI:AYT,-0.031061908,-0.075005196,0.012881381,0.387323023
IITA:PYT-NRCRI:AYT,0.095886183,0.055308392,0.136463974,0
NRCRI:PYT-NRCRI:AYT,0.134953014,0.061769596,0.208136431,6.09E-07
IITA:UYT-NRCRI:AYT,-0.067301128,-0.112488982,-0.022113274,0.000171959
NRCRI:UYT-NRCRI:AYT,0.176953384,0.121376666,0.232530103,0
NRCRI:CET-IITA:CET,-0.299049656,-0.338850795,-0.259248517,0
IITA:PYT-IITA:CET,-0.172101565,-0.208152573,-0.136050557,0
NRCRI:PYT-IITA:CET,-0.133034735,-0.203808534,-0.062260935,3.11E-07
IITA:UYT-IITA:CET,-0.335288876,-0.376459985,-0.294117768,0
NRCRI:UYT-IITA:CET,-0.091034364,-0.143397421,-0.038671307,3.79E-06
IITA:PYT-NRCRI:CET,0.126948091,0.095899842,0.157996339,0
NRCRI:PYT-NRCRI:CET,0.166014921,0.097653753,0.234376089,0
IITA:UYT-NRCRI:CET,-0.03623922,-0.073108974,0.000630534,0.058096331
NRCRI:UYT-NRCRI:CET,0.208015292,0.158962175,0.257068409,0
NRCRI:PYT-IITA:PYT,0.03906683,-0.027181141,0.105314802,0.628651685
IITA:UYT-IITA:PYT,-0.163187311,-0.195973333,-0.130401289,0
NRCRI:UYT-IITA:PYT,0.081067201,0.035004714,0.127129689,2.65E-06
IITA:UYT-NRCRI:PYT,-0.202254141,-0.2714219,-0.133086383,0
NRCRI:UYT-NRCRI:PYT,0.042000371,-0.034360668,0.11836141,0.708611957
NRCRI:UYT-IITA:UYT,0.244254512,0.194083427,0.294425597,0
